Index,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
323,tuatapere,0,NZ,1551646810,80,-46.13,167.69,57.99,3.0
324,genhe,20,CN,1551647297,52,50.78,121.52,5.53,2.73
325,san luis,44,AR,1551647297,75,-33.3,-66.34,74.34,8.55
326,manta,8,RO,1551647297,81,45.1,24.1,26.86,2.39
327,adrar,0,DZ,1551643200,12,27.87,-0.29,68.0,6.93
328,flinders,0,AU,1551646935,100,-34.58,150.85,73.0,8.05
329,mattru,0,SL,1551647298,38,7.62,-11.83,85.59,6.42
330,la libertad,75,PE,1551643200,59,-16.38,-71.56,64.4,11.41
331,villarrica,20,CL,1551646835,49,-39.28,-72.23,69.01,13.87
332,biak,8,ID,1551647299,99,-0.91,122.88,77.08,3.29
333,coihaique,40,CL,1551643200,43,-45.58,-72.07,55.4,12.75
334,zinder,48,NE,1551647299,19,13.81,8.99,80.46,10.78
335,arona,0,IT,1551647284,57,45.76,8.56,54.0,2.24
336,ruwi,0,OM,1551642600,49,23.6,58.55,69.8,3.36
337,huilong,56,CN,1551647300,87,28.89,110.18,33.66,2.17
338,coquimbo,20,CL,1551643200,68,-29.95,-71.34,68.0,13.87
339,sundsvall,75,SE,1551647118,85,62.39,17.31,25.0,2.24
340,gat,0,SN,1551645000,43,14.69,-16.54,71.6,18.34
341,hambantota,24,LK,1551647301,100,6.12,81.12,77.08,2.73
342,nouadhibou,0,MR,1551643200,72,20.93,-17.03,66.2,19.46
343,bar harbor,90,US,1551647225,64,44.39,-68.2,36.0,6.93
344,juneau,20,US,1551642960,29,58.3,-134.42,35.6,2.84
345,tommot,48,RU,1551647302,72,58.97,126.27,4.72,1.95
346,ocean city,75,US,1551647219,83,30.44,-86.61,75.2,17.22
347,tomball,90,US,1551647078,87,30.1,-95.62,54.0,17.22
348,toppenish,90,US,1551647120,45,46.38,-120.31,26.6,5.82
349,gunjur,0,GM,1551643200,46,13.18,-16.76,73.4,8.05
350,jutai,92,BR,1551647303,99,-1.71,-47.89,74.38,3.29
351,port hardy,90,CA,1551645780,81,50.7,-127.42,32.0,24.16
352,yeppoon,40,AU,1551645000,78,-23.13,150.74,71.6,5.82
353,salamiyah,56,SY,1551647303,100,35.01,37.05,42.88,3.18
354,guerrero negro,8,MX,1551647032,68,27.97,-114.04,65.83,15.26
355,chake chake,8,TZ,1551647304,98,-5.25,39.77,84.1,8.66
356,mahibadhoo,44,MV,1551647304,99,3.78,72.97,83.11,12.24
357,palmeiras de goias,76,BR,1551647013,88,-16.8,-49.93,72.67,5.08
358,the valley,40,AI,1551646866,61,18.22,-63.06,80.6,17.22
359,humberto de campos,92,BR,1551647305,100,-2.6,-43.46,79.42,5.3
360,manadhoo,92,MV,1551647305,100,5.77,73.38,82.89,9.55
361,pingliang,88,CN,1551647305,81,35.54,106.68,25.38,1.39
362,elizabeth city,90,US,1551647139,87,36.3,-76.22,51.8,4.74
363,tura,0,IN,1551647305,75,25.52,90.21,59.13,3.4
364,daru,0,SL,1551647306,58,7.99,-10.85,78.7,1.83
365,lajas,40,CU,1551642840,62,22.41,-80.29,89.6,12.75
366,mildura,64,AU,1551646896,52,-34.18,142.16,68.0,2.24
367,lasa,40,CY,1551646907,87,34.92,32.53,53.6,5.82
368,la palma,44,CO,1551647307,87,5.36,-74.39,74.92,1.5
369,kawalu,88,ID,1551647307,98,-7.38,108.21,67.45,2.17
370,banjar,92,ID,1551647251,96,-7.37,108.54,69.88,2.39
371,puerto carreno,40,CO,1551643200,41,6.19,-67.49,95.0,2.84
372,husavik,56,CA,1551646804,72,50.56,-96.99,1.99,8.99
373,luau,0,CD,1551647308,81,-10.7,22.23,69.84,3.62
374,varzea da palma,88,BR,1551647308,52,-17.6,-44.73,84.01,3.74
375,azanka,68,RU,1551647309,82,58.04,64.79,21.78,8.21
376,itoman,75,JP,1551645000,68,26.12,127.67,66.2,20.8
377,muskegon,1,US,1551647298,52,43.23,-86.25,21.99,12.75
378,makinsk,76,KZ,1551647309,91,52.63,70.42,28.08,19.17
379,curaca,76,BR,1551647309,54,-8.99,-39.91,85.81,2.39
380,porto franco,80,BR,1551647309,87,-6.34,-47.4,77.31,6.2
381,faanui,20,PF,1551647040,100,-16.48,-151.75,83.34,5.64
